Java开发工程师,江西伦比新材料科技有限公司,南昌,4.5-6千/月,04-27,"南昌,1年经验,大专,招1人,04-27发布","绩效奖金,通讯补贴,专业培训,员工旅游,餐饮补贴,交通补贴,年终奖金,五险"
JAVA软件工程师,江苏灜沣信息科技有限公司,南京-建邺区,0.8-1.5万/月,04-27,"南京-建邺区,3-4年经验,本科,招2人,04-27发布","五险一金,餐饮补贴,股票期权,年终奖金"
Java初级开发工程师,大连泰微科技有限公司,大连,4.5-6千/月,04-27,"大连,无工作经验,招3人,04-27发布",
JAVA软件工程师,成都慧码技术有限公司,成都-高新区,0.7-1.2万/月,04-27,"成都-高新区,3-4年经验,本科,招6人,04-27发布,英语良好","五险一金,弹性工作"
JAVA研发工程师,湖北云天下教育科技有限公司,武汉-洪山区,0.8-1.5万/月,04-27,"武汉-洪山区,3-4年经验,本科,招2人,04-27发布","绩效奖金,五险一金,员工旅游,年终奖金,出国机会,专业培训"
Java开发工程师,深圳市零距互联网科技有限公司,深圳-龙华新区,1.5-2.5万/月,04-27,"深圳-龙华新区,无工作经验,大专,招2人,04-27发布","五险一金,员工旅游,绩效奖金,年终奖金"
JAVA研发工程师,长沙正达信息科技有限公司,长沙-岳麓区,6-8千/月,04-27,"长沙-岳麓区,2年经验,本科,招2人,04-27发布",
Java中级开发工程师,常州飞豚信息技术有限公司,常州-钟楼区,7-9千/月,04-27,"常州-钟楼区,3-4年经验,本科,招2人,04-27发布","五险一金,绩效奖金,年终奖金,通讯补贴,员工旅游,定期体检"
双休+初级Java程序员,湖北华奥星空体育产业联盟发展有限...,武汉-武昌区,4.5-7千/月,04-27,"武汉-武昌区,无工作经验,大专,招5人,04-27发布","五险一金,补充公积金,员工旅游,绩效奖金,年终奖金,弹性工作,定期体检"
Java工程师,陕西绝顶人峰网络科技有限公司,西安-高新技术...,7-8千/月,04-27,"西安-高新技术产业开发区,2年经验,本科,招1人,04-27发布","绩效奖金,全勤奖,通讯补贴,员工旅游,节日福利,免费班车,专业培训,餐饮补贴,交通补贴,弹性工作"
